"CITY & COUNTY RATES & CODES FOR SALES AND USE TAX"
"OKLAHOMA TAX COMMISSION"
"Tax Type","COPO Number","City/County","Current Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date","Previous Rate","Effective Date","Expiration Date"
"STU","0950","OKARCHE - CANADIAN COUNTY","004.5000000%","10/01/08","00/00/00","003.0000000%","12/01/89","09/30/08","000.0000000%","00/00/00","11/30/89"
"STU","0953","PIEDMONT","005.0000000%","04/01/10","00/00/00","004.0000000%","07/01/92","03/31/10","002.0000000%","11/01/86","06/30/92"
"STU","0954","UNION CITY","004.0000000%","07/01/07","00/00/00","003.0000000%","03/01/95","06/30/07","000.0000000%","00/00/00","02/28/95"
"STU","0955","YUKON","004.0000000%","04/01/07","00/00/00","003.7500000%","07/01/04","03/31/07","002.7500000%","06/01/96","06/30/04"
"STU","0988","CANADIAN COUNTY","000.3500000%","01/01/12","00/00/00","000.0000000%","11/01/96","12/31/11","000.0000000%","00/00/00","10/31/96"
"STU","1001","ARDMORE","003.7500000%","01/01/07","00/00/00","003.2500000%","10/01/02","12/31/06","002.7500000%","01/01/94","09/30/02"
"STU","1003","GENE AUTRY","003.0000000%","07/01/00","00/00/00","000.0000000%","00/00/00","06/30/00","000.0000000%","00/00/00","00/00/00"
"STU","1006","CLEMSCOT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1008","DICKSON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1009","FOX","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1013","GRAHAM","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1014","HEALDTON","004.0000000%","04/01/13","00/00/00","003.5000000%","09/01/12","03/31/13","003.7500000%","01/01/12","08/31/12"
"STU","1015","LONE GROVE","004.0000000%","07/01/99","00/00/00","003.0000000%","01/01/88","06/30/99","000.0000000%","00/00/00","12/31/87"
"STU","1016","MCMAN","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1017","MILO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1019","POOLEVILLE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1023","RATLIFF CITY","003.5000000%","10/01/03","00/00/00","003.0000000%","09/01/95","09/30/03","002.0000000%","06/01/95","08/31/95"
"STU","1024","SPRINGER","002.0000000%","10/01/03","00/00/00","000.0000000%","00/00/00","09/30/03","000.0000000%","00/00/00","00/00/00"
"STU","1025","TATUMS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1026","TUSSY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1027","WILSON","003.2500000%","01/01/04","00/00/00","000.0000000%","00/00/00","12/31/03","000.0000000%","00/00/00","00/00/00"
"STU","1028","WIRT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1029","WOODFORD","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1088","CARTER COUNTY","000.7500000%","04/01/13","00/00/00","000.2500000%","01/01/12","03/31/13","000.5000000%","01/01/07","12/31/11"
"STU","1103","BARBER","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1104","COOKSON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1107","FORT GIBSON-CHEROKEE COUNTY","004.5000000%","07/01/07","00/00/00","003.2500000%","10/01/05","06/30/07","000.0000000%","00/00/00","09/30/05"
"STU","1108","HULBERT","003.0000000%","02/01/87","00/00/00","000.0000000%","00/00/00","01/31/87","000.0000000%","00/00/00","00/00/00"
"STU","1113","MOODYS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1114","PARK HILL","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1115","PEGGS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1118","OAKS - CHEROKEE COUNTY","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1119","TAHLEQUAH","003.2500000%","04/01/13","00/00/00","002.5000000%","10/01/09","03/31/13","002.0000000%","06/01/09","09/30/09"
"STU","1124","WELLING","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1188","CHEROKEE COUNTY","001.7500000%","07/01/12","00/00/00","002.0000000%","07/01/04","06/30/12","001.2500000%","10/01/01","06/30/04"
"STU","1203","BOSWELL","003.0000000%","10/01/97","00/00/00","000.0000000%","00/00/00","09/30/97","000.0000000%","00/00/00","00/00/00"
"STU","1205","FORT TOWSON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1207","GRANT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1211","HUGO","003.5000000%","07/01/03","00/00/00","003.0000000%","06/01/97","06/30/03","000.0000000%","00/00/00","05/31/97"
"STU","1216","SAWYER","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1217","SOPER","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1219","SPENCERVILLE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1224","SWINK","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1288","CHOCTAW COUNTY","002.0000000%","04/01/09","00/00/00","001.0000000%","06/01/05","03/31/09","001.2500000%","02/01/03","05/31/05"
"STU","1303","BOISE CITY","000.0000000%","12/01/00","00/00/00","003.0000000%","01/01/00","11/30/00","000.0000000%","00/00/00","12/31/99"
"STU","1304","FELT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1305","GRIGGS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1306","KENTON","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1307","KEYES","002.0000000%","12/01/90","00/00/00","000.0000000%","00/00/00","11/30/90","000.0000000%","00/00/00","00/00/00"
"STU","1315","WHEELESS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1388","CIMARRON COUNTY","002.0000000%","01/01/13","00/00/00","000.0000000%","00/00/00","12/31/12","000.0000000%","00/00/00","00/00/00"
"STU","1401","TOWN OF ETOWAH","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1402","HALL PARK","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1403","LEXINGTON","003.5000000%","10/01/94","00/00/00","000.0000000%","00/00/00","09/30/94","000.0000000%","00/00/00","00/00/00"
"STU","1404","MOORE","003.7500000%","04/01/13","00/00/00","003.5000000%","04/01/07","03/31/13","003.0000000%","06/01/92","03/31/07"
"STU","1405","NOBLE","004.0000000%","08/01/90","00/00/00","003.0000000%","04/01/88","07/31/90","000.0000000%","00/00/00","03/31/88"
"STU","1406","SLAUGHTERVILLE","002.0000000%","04/01/01","00/00/00","000.0000000%","00/00/00","03/31/01","000.0000000%","00/00/00","00/00/00"
"STU","1407","PURCELL - CLEVELAND CO","004.0000000%","10/01/05","00/00/00","000.0000000%","00/00/00","09/30/05","000.0000000%","00/00/00","00/00/00"
"STU","1411","NORMAN","003.5000000%","10/01/08","00/00/00","003.0000000%","10/01/06","09/30/08","003.5000000%","10/01/01","09/30/06"
"STU","1421","OKLAHOMA CITY - CLEVELAND COUN","003.8750000%","04/01/03","00/00/00","003.3750000%","03/01/03","03/31/03","003.8750000%","01/01/02","02/28/03"
"STU","1488","CLEVELAND COUNTY","000.2500000%","07/01/09","00/00/00","000.0000000%","00/00/00","06/30/09","000.0000000%","00/00/00","00/00/00"
"STU","1520","BROMIDE","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1524","CENTRAHOMA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1525","CLARITA","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1526","COALGATE","003.0000000%","05/01/87","00/00/00","002.0000000%","02/01/87","04/30/87","000.0000000%","00/00/00","01/31/87"
"STU","1527","LEHIGH","002.0000000%","10/01/00","00/00/00","004.0000000%","04/01/99","09/30/00","000.0000000%","00/00/00","03/31/99"
"STU","1533","TUPELO","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1588","COAL COUNTY","002.0000000%","04/01/13","00/00/00","001.0000000%","04/01/02","03/31/13","000.0000000%","00/00/00","03/31/02"
"STU","1603","CACHE","003.7500000%","07/01/13","00/00/00","003.0000000%","05/01/92","06/30/13","000.0000000%","00/00/00","04/30/92"
"STU","1605","CHATTANOOGA","003.0000000%","01/01/05","00/00/00","002.0000000%","08/01/91","12/31/04","000.0000000%","00/00/00","07/31/91"
"STU","1606","ELGIN","004.0000000%","07/01/13","00/00/00","003.0000000%","05/01/91","06/30/13","002.0000000%","02/01/91","04/30/91"
"STU","1607","FAXON","002.0000000%","01/01/11","00/00/00","000.0000000%","00/00/00","12/31/10","000.0000000%","00/00/00","00/00/00"
"STU","1608","FLETCHER","004.0000000%","01/01/02","00/00/00","003.0000000%","12/01/89","12/31/01","000.0000000%","00/00/00","11/30/89"
"STU","1609","GERONIMO","003.0000000%","07/01/89","00/00/00","000.0000000%","00/00/00","06/30/89","000.0000000%","00/00/00","00/00/00"
"STU","1613","INDIAHOMA","004.0000000%","07/01/99","00/00/00","002.0000000%","10/01/89","06/30/99","000.0000000%","00/00/00","09/30/89"
"STU","1621","LAWTON","004.1250000%","01/01/10","00/00/00","003.6250000%","01/01/08","12/31/09","003.2500000%","01/01/95","12/31/07"
"STU","1623","MEDICINE PARK","003.7500000%","10/01/07","00/00/00","003.5000000%","07/01/03","09/30/07","003.0000000%","10/01/94","06/30/03"
"STU","1624","MEERS","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1625","STERLING","003.0000000%","01/01/92","00/00/00","002.0000000%","01/01/90","12/31/91","000.0000000%","00/00/00","12/31/89"
"STU","1688","COMANCHE COUNTY","000.2500000%","01/01/09","00/00/00","000.3750000%","06/01/07","12/31/08","000.5000000%","07/01/02","05/31/07"
"STU","1703","DEVOL","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
"STU","1704","RANDLETT","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00","000.0000000%","00/00/00","00/00/00"
